2397;214583947;5.0
2397;214585395;1.0
2397;214821277;1.0
2397;214821369;5.0
2397;214826889;5.0
2397;214826955;1.0
3056;214716973;5.0
3468;214821285;2.0
3468;214826803;2.0
5213;214553936;5.0
5332;214538597;5.0
5332;214699888;5.0
12286;214716707;5.0
24569;214821028;5.0
30912;214826705;5.0
32096;214551626;2.0
32096;214821305;2.0
32799;214586711;5.0
33583;214711312;5.0
33583;214839995;5.0
34538;214684513;5.0
37593;214664767;5.0
38686;214826801;5.0
38686;214839313;2.0
46927;214716984;5.0
48193;214510802;5.0
48193;214537415;5.0
49793;214551917;5.0
49947;214820231;5.0
50428;214587060;5.0
54256;214743367;5.0
56896;214840762;5.0
57581;214572182;5.0
59536;214716928;5.0
60763;214701212;5.0
60763;214706216;5.0
61599;214826621;5.0
64671;214584939;4.0
64671;214833802;0.0
65454;214820439;5.0
66187;214706460;5.0
68516;214517450;5.0
68516;214523709;5.0
70087;214821285;1.0
70087;214821290;4.0
70631;214668795;5.0
70631;214834944;5.0
73229;214748300;5.0
73749;214826829;5.0
73886;214685795;5.0
73986;214711205;5.0
75657;214839313;5.0
79306;214821277;5.0
80147;214718169;2.0
80147;214821015;5.0
80537;214840856;5.0
80537;214842425;5.0
80537;214843417;5.0
80537;214843970;5.0
80537;214844000;5.0
80537;214844098;5.0
80654;214523700;5.0
82967;214535589;5.0
82967;214820231;4.0
83748;214510044;5.0
86081;214826702;5.0
86493;214829810;5.0
87162;214716984;5.0
91043;214748295;1.0
91043;214753507;1.0
91043;214763816;5.0
91043;214839275;5.0
92517;214839836;5.0
96149;214687839;5.0
97081;214533022;5.0
98527;214826705;5.0
99826;214716971;2.0
99826;214717003;2.0
101193;214567050;5.0
103064;214821305;4.0
103064;214821309;1.0
106312;214821285;2.0
106312;214826803;2.0
109082;214706460;5.0
109317;214826627;2.0
109317;214826835;2.0
111569;214551898;5.0
111569;214707941;5.0
111569;214820996;5.0
116498;214839313;5.0
116633;214668375;5.0
117681;214716984;5.0
118629;214684513;5.0
122069;214716984;5.0
122306;214717798;5.0
126758;214706460;5.0
127311;214819376;0.0
127311;214820400;2.0
127311;214826619;3.0
127311;214826621;0.0
127311;214826872;5.0
127311;214826908;3.0
127974;214833800;5.0
129547;214718203;5.0
131028;214839313;5.0
132508;214826705;5.0
138148;214536440;5.0
138579;214839313;5.0
141791;214684513;5.0
142196;214748336;2.0
142196;214821024;5.0
142196;214821380;5.0
142196;214832557;5.0
142343;214826212;5.0
143583;214704180;5.0
144424;214668583;5.0
144546;214753507;5.0
145311;214839313;5.0
147644;214584939;5.0
148496;214826608;2.0
148496;214826700;5.0
148496;214826801;3.0
149707;214839313;2.0
149707;214839995;5.0
151047;214826627;5.0
151448;214711280;3.0
151448;214826608;1.0
151448;214826816;5.0
151448;214826829;1.0
153306;214819796;5.0
155907;214820201;2.0
155907;214829197;5.0
156739;214697207;5.0
157736;214706441;5.0
157736;214709634;2.0
157736;214820201;2.0
159307;214826608;2.0
159307;214840545;5.0
161186;214587307;5.0
164274;214510783;5.0
164971;214584962;5.0
164971;214584999;5.0
168401;214540035;5.0
170111;214550019;5.0
172311;214820201;5.0
172847;214697077;5.0
172847;214717847;5.0
172847;214748285;5.0
172847;214820402;2.0
173693;214685795;2.0
173693;214819745;5.0
173693;214829312;2.0
175628;214827062;5.0
176722;214827020;2.0
176722;214839313;3.0
176856;214819402;5.0
176856;214826606;5.0
176856;214826627;1.0
179551;214684513;5.0
181733;214546089;5.0
181733;214546108;5.0
181733;214840415;5.0
181733;214840419;4.0
182959;214826715;5.0
182959;214826835;4.0
183237;214833800;5.0
185519;214827022;5.0
185652;214553580;5.0
185652;214826900;5.0
185652;214839313;2.0
195481;214541057;5.0
195481;214581581;5.0
195481;214636412;5.0
195481;214717093;5.0
196546;214533020;5.0
197963;214717003;2.0
197963;214717005;2.0
201047;214587028;5.0
201316;214819425;5.0
205039;214716973;5.0
208872;214576500;5.0
209487;214839313;5.0
213482;214840762;5.0
214902;214837410;5.0
220851;214536532;5.0
221929;214835430;5.0
223956;214820392;5.0
223956;214820396;3.0
224907;214716975;5.0
226426;214820261;5.0
227721;214581489;5.0
227887;214645618;5.0
232031;214710159;5.0
235363;214712235;5.0
239781;214826627;2.0
239781;214826835;1.0
